"","gene_name","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"29","aef1",1471.77177820006,0.324107135507835,0.12829664346586,2.52623238420169,0.0115293190307974,0.0711404950354719,3781.47640396625,0.454531907454562,0.0713650284152048,6.36911268093492,1.90124895308146e-10,8.60685545632858e-10
"201","bun",14248.8573828549,-0.288433943081348,0.120324303569863,-2.39713785597668,0.0165237057125168,0.0934826375262971,13345.8756370489,-1.19162127544666,0.108089938661523,-11.0243496314504,2.91618770911281e-28,3.44585728674468e-27
"279","cg10211",1757.75645638263,0.658465895298637,0.234196323034366,2.81159792249178,0.00492960830023251,0.0364447146888104,5508.64096716604,0.36343538737345,0.0972051122795312,3.73885054860412,0.000184863581296638,0.000480259268431593
"280","cg10214",213.011084756967,0.457356404483633,0.175622077612593,2.60420791452268,0.00920868748017083,0.0602049366081741,1455.09626605467,1.0955968236389,0.0727259943043103,15.0647211374594,2.76329119684263e-51,8.22562551078189e-50
"596","cg15715",1047.10251338863,0.451156977889608,0.128512697591176,3.51060234783047,0.00044709265969067,0.00499629363915449,3387.51342938747,0.780427744574888,0.0477465876039175,16.3452046259083,4.70588539047564e-60,1.85797936060486e-58
"698","cg2116",490.998820011983,-0.336440365770971,0.12824419486013,-2.62343544000499,0.00870479407328007,0.057613804006982,1364.98992821434,-0.320261218344761,0.065859977544889,-4.86275930061586,1.15760582792486e-06,3.83551458614199e-06
"701","cg2199",558.199967265645,0.513167057732485,0.1867477874478,2.74791506097991,0.00599755440314455,0.0426165846834762,2557.98266279772,0.831871595314783,0.0856260322995451,9.71517157778199,2.59811084287371e-22,2.31495187060646e-21
"741","cg30431",87.7070241760012,-0.72358175052142,0.263929696373694,-2.74157004862731,0.00611463213489263,0.0431411458418417,234.421179453318,0.475206108711295,0.199298131346393,2.38439821538195,0.0171070796335294,0.0325106008253858
"833","cg32767",1970.03850987773,-0.243534500421533,0.100693292434887,-2.41857719151465,0.0155813392495078,0.0894047591878819,1719.60091150663,-0.288326980726203,0.0842620656625489,-3.42178865969046,0.000622106491946873,0.0015060984595747
"914","cg3726",270.66822544578,-1.19649150093216,0.152984786230549,-7.82098357890983,5.24121823728399e-15,3.18361740025992e-13,425.305682038481,-0.802921321287271,0.107388146296547,-7.47681516980509,7.61453897151691e-14,4.33561854133823e-13
"984","cg4360",784.015963802928,0.316384306336557,0.132553282548911,2.38684625723859,0.0169935962037234,0.0954050657066167,3172.33160016111,0.811289768002503,0.0603486346822974,13.4433823113564,3.36688424760387e-41,6.70681307751545e-40
"1127","cg6765",213.093495013518,-0.514735575911003,0.162757961994743,-3.16258307490745,0.0015637611093071,0.0141792720810205,190.193534799085,-0.724992666122988,0.122369336207329,-5.9246269416273,3.13007143084243e-09,1.28988287370372e-08
"1128","cg6769",641.509862485051,0.318611600030628,0.113017477605339,2.8191356485873,0.00481531638761058,0.0358153025327349,3180.49326799242,0.729809313956586,0.0673180110167764,10.8412192061751,2.19525727720737e-27,2.49774441022723e-26
"1191","cg7839",1150.64268339224,0.625146764241516,0.154689606306495,4.04129779089927,5.31562053662391e-05,0.000785044193761791,4246.51962245341,1.15644147258825,0.0927675224095926,12.4660165815604,1.14403485945236e-35,1.79813917659098e-34
"1471","d",281.616987504068,-0.412765988633996,0.171906278842672,-2.40111060173525,0.0163453952854643,0.0927400380987471,381.945146183164,-0.663220424496591,0.0898317298845709,-7.38291943558023,1.54855740145903e-13,8.61638246963723e-13
"1473","d19a",373.813826355973,-0.508053206525175,0.135636767671351,-3.74568942660292,0.000179899041410025,0.00230703674216852,732.621400020467,-0.283031572966656,0.0767302528819904,-3.68865685092883,0.000225441028881393,0.000579623873632078
"1553","ea",526.566747809847,-0.560026520405149,0.15844980963759,-3.53440955016643,0.000408687286007107,0.00464041546041153,1656.7831141118,-0.673700074124876,0.0844227632253162,-7.98007608832746,1.46243112196409e-15,9.38284782120137e-15
"1611","esn",307.667829903154,-0.755982831607834,0.199992455294133,-3.78005675512105,0.00015679261404768,0.00205265695655931,501.88536983692,-0.59180220572895,0.0971106646422537,-6.09410107436802,1.10054111432461e-09,4.69671057430377e-09
"1616","ewg",532.952069779879,-0.45543461889177,0.124142122589946,-3.66865500114023,0.000243829848944693,0.00299759481325042,1178.7566477165,-0.211282076069439,0.0652721707343711,-3.23693962821098,0.00120818968824876,0.0028094511407047
"1723","grn",471.97996200307,0.435076402690595,0.162189240011647,2.68252322200507,0.00730690786627387,0.0500627320031305,1068.63439603775,-0.364169639975596,0.0930658946350703,-3.91303002462478,9.11451968829588e-05,0.000245392346119963
"1768","hh",74.7338827469437,-0.822724736293508,0.275281601609951,-2.98866590241375,0.00280198335477399,0.022823942279911,203.491024397713,0.695804909386511,0.150713884471605,4.61672732957529,3.8983894144897e-06,1.21993500732975e-05
"1874","kz",318.44112609013,0.97351327988925,0.339947079917545,2.86372008291813,0.00418697834803502,0.0318978296534724,1693.22965564849,1.12093168836235,0.130510719468656,8.58880935547634,8.78751884090558e-18,6.42355936557771e-17
"2009","mbf1",1886.62462665419,0.536177199376638,0.0945605723915351,5.67019832702108,1.42632310908473e-08,4.17476644726408e-07,8215.80436832943,0.633873701309325,0.0513088484739889,12.3540816089581,4.63013548065861e-35,7.10798563253144e-34
